1.1.1 P1		1.1.1 1
132.9.1118 P4_2/m'c'm'		15.7.59 4/m'm'm'
132.10.1119 P_C4_2/mmc		15.2.54 4/mmm1'
132.11.1120 P_C4_2/nmc		15.2.54 4/mmm1'
132.12.1121 P_C4_2/mbc		15.2.54 4/mmm1'
132.13.1122 P_C4_2/nbc		15.2.54 4/mmm1'
133.1.1123 P4_2/nbc		15.1.53 4/mmm
133.2.1124 P4_2/nbc1'		15.2.54 4/mmm1'
133.3.1125 P4_2/n'bc		15.3.55 4/m'mm
133.4.1126 P4_2'/nb'c		15.4.56 4'/mm'm
133.5.1127 P4_2'/nbc'		15.4.56 4'/mmm'
133.6.1128 P4_2'/n'b'c		15.5.57 4'/m'm'm
133.7.1129 P4_2/nb'c'		15.6.58 4/mm'm'
133.8.1130 P4_2'/n'bc'		15.5.57 4'/m'mm'
133.9.1131 P4_2/n'b'c'		15.7.59 4/m'm'm'
134.1.1132 P4_2/nnm		15.1.53 4/mmm
134.2.1133 P4_2/nnm1'		15.2.54 4/mmm1'
134.3.1134 P4_2/n'nm		15.3.55 4/m'mm
134.4.1135 P4_2'/nn'm		15.4.56 4'/mm'm
134.5.1136 P4_2'/nnm'		15.4.56 4'/mmm'
134.6.1137 P4_2'/n'n'm		15.5.57 4'/m'm'm
134.7.1138 P4_2/nn'm'		15.6.58 4/mm'm'
134.8.1139 P4_2'/n'nm'		15.5.57 4'/m'mm'
134.9.1140 P4_2/n'n'm'		15.7.59 4/m'm'm'
134.10.1141 I_c4_1/amd		15.2.54 4/mmm1'
134.11.1142 I_c4_1/acd		15.2.54 4/mmm1'
135.1.1143 P4_2/mbc		15.1.53 4/mmm
135.2.1144 P4_2/mbc1'		15.2.54 4/mmm1'
135.3.1145 P4_2/m'bc		15.3.55 4/m'mm
135.4.1146 P4_2'/mb'c		15.4.56 4'/mm'm
135.5.1147 P4_2'/mbc'		15.4.56 4'/mmm'
135.6.1148 P4_2'/m'b'c		15.5.57 4'/m'm'm
135.7.1149 P4_2/mb'c'		15.6.58 4/mm'm'
135.8.1150 P4_2'/m'bc'		15.5.57 4'/m'mm'
135.9.1151 P4_2/m'b'c'		15.7.59 4/m'm'm'
136.1.1152 P4_2/mnm		15.1.53 4/mmm
136.2.1153 P4_2/mnm1'		15.2.54 4/mmm1'
136.3.1154 P4_2/m'nm		15.3.55 4/m'mm
136.4.1155 P4_2'/mn'm		15.4.56 4'/mm'm
136.5.1156 P4_2'/mnm'		15.4.56 4'/mmm'
136.6.1157 P4_2'/m'n'm		15.5.57 4'/m'm'm
136.7.1158 P4_2/mn'm'		15.6.58 4/mm'm'
136.8.1159 P4_2'/m'nm'		15.5.57 4'/m'mm'
136.9.1160 P4_2/m'n'm'		15.7.59 4/m'm'm'
137.1.1161 P4_2/nmc		15.1.53 4/mmm
137.2.1162 P4_2/nmc1'		15.2.54 4/mmm1'
137.3.1163 P4_2/n'mc		15.3.55 4/m'mm
137.4.1164 P4_2'/nm'c		15.4.56 4'/mm'm
137.5.1165 P4_2'/nmc'		15.4.56 4'/mmm'
137.6.1166 P4_2'/n'm'c		15.5.57 4'/m'm'm
137.7.1167 P4_2/nm'c'		15.6.58 4/mm'm'
137.8.1168 P4_2'/n'mc'		15.5.57 4'/m'mm'
137.9.1169 P4_2/n'm'c'		15.7.59 4/m'm'm'
138.1.1170 P4_2/ncm		15.1.53 4/mmm
138.2.1171 P4_2/ncm1'		15.2.54 4/mmm1'
138.3.1172 P4_2/n'cm		15.3.55 4/m'mm
138.4.1173 P4_2'/nc'm		15.4.56 4'/mm'm
138.5.1174 P4_2'/ncm'		15.4.56 4'/mmm'
138.6.1175 P4_2'/n'c'm		15.5.57 4'/m'm'm
138.7.1176 P4_2/nc'm'		15.6.58 4/mm'm'
138.8.1177 P4_2'/n'cm'		15.5.57 4'/m'mm'
138.9.1178 P4_2/n'c'm'		15.7.59 4/m'm'm'
139.1.1179 I4/mmm		15.1.53 4/mmm
139.2.1180 I4/mmm1'		15.2.54 4/mmm1'
139.3.1181 I4/m'mm		15.3.55 4/m'mm
139.4.1182 I4'/mm'm		15.4.56 4'/mm'm
139.5.1183 I4'/mmm'		15.4.56 4'/mmm'
139.6.1184 I4'/m'm'm		15.5.57 4'/m'm'm
139.7.1185 I4/mm'm'		15.6.58 4/mm'm'
139.8.1186 I4'/m'mm'		15.5.57 4'/m'mm'
139.9.1187 I4/m'm'm'		15.7.59 4/m'm'm'
139.10.1188 P_I4/mmm		15.2.54 4/mmm1'
139.11.1189 P_I4/nmm		15.2.54 4/mmm1'
139.12.1190 P_I4_2/mnm		15.2.54 4/mmm1'
139.13.1191 P_I4_2/mmc		15.2.54 4/mmm1'
139.14.1192 P_I4_2/nnm		15.2.54 4/mmm1'
139.15.1193 P_I4/mnc		15.2.54 4/mmm1'
139.16.1194 P_I4_2/nmc		15.2.54 4/mmm1'
139.17.1195 P_I4/nnc		15.2.54 4/mmm1'
140.1.1196 I4/mcm		15.1.53 4/mmm
140.2.1197 I4/mcm1'		15.2.54 4/mmm1'
140.3.1198 I4/m'cm		15.3.55 4/m'mm
140.4.1199 I4'/mc'm		15.4.56 4'/mm'm
140.5.1200 I4'/mcm'		15.4.56 4'/mmm'
140.6.1201 I4'/m'c'm		15.5.57 4'/m'm'm
140.7.1202 I4/mc'm'		15.6.58 4/mm'm'
140.8.1203 I4'/m'cm'		15.5.57 4'/m'mm'
140.9.1204 I4/m'c'm'		15.7.59 4/m'm'm'
140.10.1205 P_I4/mcc		15.2.54 4/mmm1'
140.11.1206 P_I4/ncc		15.2.54 4/mmm1'
140.12.1207 P_I4_2/mbc		15.2.54 4/mmm1'
140.13.1208 P_I4_2/mcm		15.2.54 4/mmm1'
140.14.1209 P_I4_2/nbc		15.2.54 4/mmm1'
140.15.1210 P_I4/mbm		15.2.54 4/mmm1'
140.16.1211 P_I4_2/ncm		15.2.54 4/mmm1'
140.17.1212 P_I4/nbm		15.2.54 4/mmm1'
141.1.1213 I4_1/amd		15.1.53 4/mmm
141.2.1214 I4_1/amd1'		15.2.54 4/mmm1'
141.3.1215 I4_1/a'md		15.3.55 4/m'mm
141.4.1216 I4_1'/am'd		15.4.56 4'/mm'm
141.5.1217 I4_1'/amd'		15.4.56 4'/mmm'
141.6.1218 I4_1'/a'm'd		15.5.57 4'/m'm'm
141.7.1219 I4_1/am'd'		15.6.58 4/mm'm'
141.8.1220 I4_1'/a'md'		15.5.57 4'/m'mm'
141.9.1221 I4_1/a'm'd'		15.7.59 4/m'm'm'
142.1.1222 I4_1/acd		15.1.53 4/mmm
142.2.1223 I4_1/acd1'		15.2.54 4/mmm1'
142.3.1224 I4_1/a'cd		15.3.55 4/m'mm
142.4.1225 I4_1'/ac'd		15.4.56 4'/mm'm
142.5.1226 I4_1'/acd'		15.4.56 4'/mmm'
142.6.1227 I4_1'/a'c'd		15.5.57 4'/m'm'm
142.7.1228 I4_1/ac'd'		15.6.58 4/mm'm'
142.8.1229 I4_1'/a'cd'		15.5.57 4'/m'mm'
142.9.1230 I4_1/a'c'd'		15.7.59 4/m'm'm'
143.1.1231 P3		16.1.60 3
143.2.1232 P31'		16.2.61 31'
143.3.1233 P_c3		16.2.61 31'
144.1.1234 P3_1		16.1.60 3
144.2.1235 P3_11'		16.2.61 31'
144.3.1236 P_c3_2		16.2.61 31'
145.1.1237 P3_2		16.1.60 3
145.2.1238 P3_21'		16.2.61 31'
145.3.1239 P_c3_1		16.2.61 31'
146.1.1240 R3		16.1.60 3
146.2.1241 R31'		16.2.61 31'
146.3.1242 R_I3		16.2.61 31'
147.1.1243 P-3		17.1.62 -3
147.2.1244 P-31'		17.2.63 -31'
147.3.1245 P-3'		17.3.64 -3'
147.4.1246 P_c-3		17.2.63 -31'
148.1.1247 R-3		17.1.62 -3
148.2.1248 R-31'		17.2.63 -31'
148.3.1249 R-3'		17.3.64 -3'
148.4.1250 R_I-3		17.2.63 -31'
149.1.1251 P312		18.1.65 312
149.2.1252 P3121'		18.2.66 3121'
149.3.1253 P312'		18.3.67 312'
149.4.1254 P_c312		18.2.66 3121'
150.1.1255 P321		18.1.65 321
150.2.1256 P3211'		18.2.66 3211'
150.3.1257 P32'1		18.3.67 32'1
150.4.1258 P_c321		18.2.66 3211'
151.1.1259 P3_112		18.1.65 312
151.2.1260 P3_1121'		18.2.66 3121'
151.3.1261 P3_112'		18.3.67 312'
151.4.1262 P_c3_212		18.2.66 3121'
152.1.1263 P3_121		18.1.65 321
152.2.1264 P3_1211'		18.2.66 3211'
152.3.1265 P3_12'1		18.3.67 32'1
152.4.1266 P_c3_221		18.2.66 3211'
153.1.1267 P3_212		18.1.65 312
153.2.1268 P3_2121'		18.2.66 3121'
153.3.1269 P3_212'		18.3.67 312'
153.4.1270 P_c3_112		18.2.66 3121'
154.1.1271 P3_221		18.1.65 321
154.2.1272 P3_2211'		18.2.66 3211'
154.3.1273 P3_22'1		18.3.67 32'1
154.4.1274 P_c3_121		18.2.66 3211'
155.1.1275 R32		18.1.65 32
155.2.1276 R321'		18.2.66 321'
155.3.1277 R32'		18.3.67 32'
155.4.1278 R_I32		18.2.66 321'
156.1.1279 P3m1		19.1.68 3m1
156.2.1280 P3m11'		19.2.69 3m11'
156.3.1281 P3m'1		19.3.70 3m'1
156.4.1282 P_c3m1		19.2.69 3m11'
156.5.1283 P_c3c1		19.2.69 3m11'
157.1.1284 P31m		19.1.68 31m
157.2.1285 P31m1'		19.2.69 31m1'
157.3.1286 P31m'		19.3.70 31m'
157.4.1287 P_c31m		19.2.69 31m1'
157.5.1288 P_c31c		19.2.69 31m1'
158.1.1289 P3c1		19.1.68 3m1
158.2.1290 P3c11'		19.2.69 3m11'
158.3.1291 P3c'1		19.3.70 3m'1
159.1.1292 P31c		19.1.68 31m
159.2.1293 P31c1'		19.2.69 31m1'
159.3.1294 P31c'		19.3.70 31m'
160.1.1295 R3m		19.1.68 3m
160.2.1296 R3m1'		19.2.69 3m1'
160.3.1297 R3m'		19.3.70 3m'
160.4.1298 R_I3m		19.2.69 3m1'
160.5.1299 R_I3c		19.2.69 3m1'
161.1.1300 R3c		19.1.68 3m
161.2.1301 R3c1'		19.2.69 3m1'
161.3.1302 R3c'		19.3.70 3m'
162.1.1303 P-31m		20.1.71 -31m
162.2.1304 P-31m1'		20.2.72 -31m1'
162.3.1305 P-3'1m		20.3.73 -3'1m
162.4.1306 P-3'1m'		20.4.74 -3'1m'
162.5.1307 P-31m'		20.5.75 -31m'
162.6.1308 P_c-31m		20.2.72 -31m1'
162.7.1309 P_c-31c		20.2.72 -31m1'
163.1.1310 P-31c		20.1.71 -31m
163.2.1311 P-31c1'		20.2.72 -31m1'
163.3.1312 P-3'1c		20.3.73 -3'1m
163.4.1313 P-3'1c'		20.4.74 -3'1m'
163.5.1314 P-31c'		20.5.75 -31m'
164.1.1315 P-3m1		20.1.71 -3m1
164.2.1316 P-3m11'		20.2.72 -3m11'
164.3.1317 P-3'm1		20.3.73 -3'm1
164.4.1318 P-3'm'1		20.4.74 -3'm'1
164.5.1319 P-3m'1		20.5.75 -3m'1
164.6.1320 P_c-3m1		20.2.72 -3m11'
164.7.1321 P_c-3c1		20.2.72 -3m11'
165.1.1322 P-3c1		20.1.71 -3m1
165.2.1323 P-3c11'		20.2.72 -3m11'
165.3.1324 P-3'c1		20.3.73 -3'm1
165.4.1325 P-3'c'1		20.4.74 -3'm'1
165.5.1326 P-3c'1		20.5.75 -3m'1
166.1.1327 R-3m		20.1.71 -3m
166.2.1328 R-3m1'		20.2.72 -3m1'
166.3.1329 R-3'm		20.3.73 -3'm
166.4.1330 R-3'm'		20.4.74 -3'm'
166.5.1331 R-3m'		20.5.75 -3m'
166.6.1332 R_I-3m		20.2.72 -3m1'
166.7.1333 R_I-3c		20.2.72 -3m1'
167.1.1334 R-3c		20.1.71 -3m
167.2.1335 R-3c1'		20.2.72 -3m1'
167.3.1336 R-3'c		20.3.73 -3'm
167.4.1337 R-3'c'		20.4.74 -3'm'
167.5.1338 R-3c'		20.5.75 -3m'
168.1.1339 P6		21.1.76 6
168.2.1340 P61'		21.2.77 61'
168.3.1341 P6'		21.3.78 6'
168.4.1342 P_c6		21.2.77 61'
168.5.1343 P_c6_3		21.2.77 61'
169.1.1344 P6_1		21.1.76 6
169.2.1345 P6_11'		21.2.77 61'
169.3.1346 P6_1'		21.3.78 6'
170.1.1347 P6_5		21.1.76 6
170.2.1348 P6_51'		21.2.77 61'
170.3.1349 P6_5'		21.3.78 6'
171.1.1350 P6_2		21.1.76 6
171.2.1351 P6_21'		21.2.77 61'
171.3.1352 P6_2'		21.3.78 6'
171.4.1353 P_c6_1		21.2.77 61'
171.5.1354 P_c6_4		21.2.77 61'
172.1.1355 P6_4		21.1.76 6
172.2.1356 P6_41'		21.2.77 61'
172.3.1357 P6_4'		21.3.78 6'
172.4.1358 P_c6_2		21.2.77 61'
172.5.1359 P_c6_5		21.2.77 61'
173.1.1360 P6_3		21.1.76 6
173.2.1361 P6_31'		21.2.77 61'
173.3.1362 P6_3'		21.3.78 6'
174.1.1363 P-6		22.1.79 -6
174.2.1364 P-61'		22.2.80 -61'
174.3.1365 P-6'		22.3.81 -6'
174.4.1366 P_c-6		22.2.80 -61'
175.1.1367 P6/m		23.1.82 6/m
175.2.1368 P6/m1'		23.2.83 6/m1'
175.3.1369 P6'/m		23.3.84 6'/m
175.4.1370 P6/m'		23.4.85 6/m'
175.5.1371 P6'/m'		23.5.86 6'/m'
175.6.1372 P_c6/m		23.2.83 6/m1'
175.7.1373 P_c6_3/m		23.2.83 6/m1'
176.1.1374 P6_3/m		23.1.82 6/m
176.2.1375 P6_3/m1'		23.2.83 6/m1'
176.3.1376 P6_3'/m		23.3.84 6'/m
176.4.1377 P6_3/m'		23.4.85 6/m'
176.5.1378 P6_3'/m'		23.5.86 6'/m'
177.1.1379 P622		24.1.87 622
177.2.1380 P6221'		24.2.88 6221'
177.3.1381 P6'2'2		24.3.89 6'2'2
177.4.1382 P6'22'		24.3.89 6'22'
177.5.1383 P62'2'		24.4.90 62'2'
177.6.1384 P_c622		24.2.88 6221'
177.7.1385 P_c6_322		24.2.88 6221'
178.1.1386 P6_122		24.1.87 622
178.2.1387 P6_1221'		24.2.88 6221'
178.3.1388 P6_1'2'2		24.3.89 6'2'2
178.4.1389 P6_1'22'		24.3.89 6'22'
178.5.1390 P6_12'2'		24.4.90 62'2'
179.1.1391 P6_522		24.1.87 622
179.2.1392 P6_5221'		24.2.88 6221'
179.3.1393 P6_5'2'2		24.3.89 6'2'2
179.4.1394 P6_5'22'		24.3.89 6'22'
179.5.1395 P6_52'2'		24.4.90 62'2'
180.1.1396 P6_222		24.1.87 622
180.2.1397 P6_2221'		24.2.88 6221'
180.3.1398 P6_2'2'2		24.3.89 6'2'2
180.4.1399 P6_2'22'		24.3.89 6'22'
180.5.1400 P6_22'2'		24.4.90 62'2'
180.6.1401 P_c6_122		24.2.88 6221'
180.7.1402 P_c6_422		24.2.88 6221'
181.1.1403 P6_422		24.1.87 622
181.2.1404 P6_4221'		24.2.88 6221'
181.3.1405 P6_4'2'2		24.3.89 6'2'2
181.4.1406 P6_4'22'		24.3.89 6'22'
181.5.1407 P6_42'2'		24.4.90 62'2'
181.6.1408 P_c6_222		24.2.88 6221'
181.7.1409 P_c6_522		24.2.88 6221'
182.1.1410 P6_322		24.1.87 622
182.2.1411 P6_3221'		24.2.88 6221'
182.3.1412 P6_3'2'2		24.3.89 6'2'2
182.4.1413 P6_3'22'		24.3.89 6'22'
182.5.1414 P6_32'2'		24.4.90 62'2'
183.1.1415 P6mm		25.1.91 6mm
183.2.1416 P6mm1'		25.2.92 6mm1'
183.3.1417 P6'm'm		25.3.93 6'm'm
183.4.1418 P6'mm'		25.3.93 6'mm'
183.5.1419 P6m'm'		25.4.94 6m'm'
183.6.1420 P_c6mm		25.2.92 6mm1'
183.7.1421 P_c6_3cm		25.2.92 6mm1'
183.8.1422 P_c6_3mc		25.2.92 6mm1'
183.9.1423 P_c6cc		25.2.92 6mm1'
184.1.1424 P6cc		25.1.91 6mm
184.2.1425 P6cc1'		25.2.92 6mm1'
184.3.1426 P6'c'c		25.3.93 6'm'm
184.4.1427 P6'cc'		25.3.93 6'mm'
184.5.1428 P6c'c'		25.4.94 6m'm'
185.1.1429 P6_3cm		25.1.91 6mm
185.2.1430 P6_3cm1'		25.2.92 6mm1'
185.3.1431 P6_3'c'm		25.3.93 6'm'm
185.4.1432 P6_3'cm'		25.3.93 6'mm'
185.5.1433 P6_3c'm'		25.4.94 6m'm'
186.1.1434 P6_3mc		25.1.91 6mm
186.2.1435 P6_3mc1'		25.2.92 6mm1'
186.3.1436 P6_3'm'c		25.3.93 6'm'm
186.4.1437 P6_3'mc'		25.3.93 6'mm'
186.5.1438 P6_3m'c'		25.4.94 6m'm'
187.1.1439 P-6m2		26.1.95 -6m2
187.2.1440 P-6m21'		26.2.96 -6m21'
187.3.1441 P-6'm'2		26.3.97 -6'm'2
187.4.1442 P-6'm2'		26.4.98 -6'm2'
187.5.1443 P-6m'2'		26.5.99 -6m'2'
187.6.1444 P_c-6m2		26.2.96 -6m21'
187.7.1445 P_c-6c2		26.2.96 -6m21'
188.1.1446 P-6c2		26.1.95 -6m2
188.2.1447 P-6c21'		26.2.96 -6m21'
188.3.1448 P-6'c'2		26.3.97 -6'm'2
188.4.1449 P-6'c2'		26.4.98 -6'm2'
188.5.1450 P-6c'2'		26.5.99 -6m'2'
189.1.1451 P-62m		26.1.95 -62m
189.2.1452 P-62m1'		26.2.96 -62m1'
189.3.1453 P-6'2'm		26.4.98 -6'2'm
189.4.1454 P-6'2m'		26.3.97 -6'2m'
189.5.1455 P-62'm'		26.5.99 -62'm'
189.6.1456 P_c-62m		26.2.96 -62m1'
189.7.1457 P_c-62c		26.2.96 -62m1'
190.1.1458 P-62c		26.1.95 -62m
190.2.1459 P-62c1'		26.2.96 -62m1'
190.3.1460 P-6'2'c		26.4.98 -6'2'm
190.4.1461 P-6'2c'		26.3.97 -6'2m'
190.5.1462 P-62'c'		26.5.99 -62'm'
191.1.1463 P6/mmm		27.1.100 6/mmm
191.2.1464 P6/mmm1'		27.2.101 6/mmm1'
191.3.1465 P6/m'mm		27.3.102 6/m'mm
191.4.1466 P6'/mm'm		27.4.103 6'/mm'm
191.5.1467 P6'/mmm'		27.4.103 6'/mmm'
191.6.1468 P6'/m'm'm		27.5.104 6'/m'm'm
191.7.1469 P6'/m'mm'		27.5.104 6'/m'mm'
191.8.1470 P6/mm'm'		27.6.105 6/mm'm'
191.9.1471 P6/m'm'm'		27.7.106 6/m'm'm'
191.10.1472 P_c6/mmm		27.2.101 6/mmm1'
191.11.1473 P_c6_3/mcm		27.2.101 6/mmm1'
191.12.1474 P_c6_3/mmc		27.2.101 6/mmm1'
191.13.1475 P_c6/mcc		27.2.101 6/mmm1'
192.1.1476 P6/mcc		27.1.100 6/mmm
192.2.1477 P6/mcc1'		27.2.101 6/mmm1'
192.3.1478 P6/m'cc		27.3.102 6/m'mm
192.4.1479 P6'/mc'c		27.4.103 6'/mm'm
192.5.1480 P6'/mcc'		27.4.103 6'/mmm'
192.6.1481 P6'/m'c'c		27.5.104 6'/m'm'm
192.7.1482 P6'/m'cc'		27.5.104 6'/m'mm'
192.8.1483 P6/mc'c'		27.6.105 6/mm'm'
192.9.1484 P6/m'c'c'		27.7.106 6/m'm'm'
193.1.1485 P6_3/mcm		27.1.100 6/mmm
193.2.1486 P6_3/mcm1'		27.2.101 6/mmm1'
193.3.1487 P6_3/m'cm		27.3.102 6/m'mm
193.4.1488 P6_3'/mc'm		27.4.103 6'/mm'm
193.5.1489 P6_3'/mcm'		27.4.103 6'/mmm'
193.6.1490 P6_3'/m'c'm		27.5.104 6'/m'm'm
193.7.1491 P6_3'/m'cm'		27.5.104 6'/m'mm'
193.8.1492 P6_3/mc'm'		27.6.105 6/mm'm'
193.9.1493 P6_3/m'c'm'		27.7.106 6/m'm'm'
194.1.1494 P6_3/mmc		27.1.100 6/mmm
194.2.1495 P6_3/mmc1'		27.2.101 6/mmm1'
194.3.1496 P6_3/m'mc		27.3.102 6/m'mm
194.4.1497 P6_3'/mm'c		27.4.103 6'/mm'm
194.5.1498 P6_3'/mmc'		27.4.103 6'/mmm'
194.6.1499 P6_3'/m'm'c		27.5.104 6'/m'm'm
194.7.1500 P6_3'/m'mc'		27.5.104 6'/m'mm'
194.8.1501 P6_3/mm'c'		27.6.105 6/mm'm'
194.9.1502 P6_3/m'm'c'		27.7.106 6/m'm'm'
195.1.1503 P23		28.1.107 23
195.2.1504 P231'		28.2.108 231'
195.3.1505 F_S23		28.2.108 231'
196.1.1506 F23		28.1.107 23
196.2.1507 F231'		28.2.108 231'
197.1.1508 I23		28.1.107 23
197.2.1509 I231'		28.2.108 231'
197.3.1510 P_I23		28.2.108 231'
198.1.1511 P2_13		28.1.107 23
198.2.1512 P2_131'		28.2.108 231'
199.1.1513 I2_13		28.1.107 23
199.2.1514 I2_131'		28.2.108 231'
199.3.1515 P_I2_13		28.2.108 231'
200.1.1516 Pm-3		29.1.109 m-3
200.2.1517 Pm-31'		29.2.110 m-31'
200.3.1518 Pm'-3'		29.3.111 m'-3'
200.4.1519 F_Sm-3		29.2.110 m-31'
201.1.1520 Pn-3		29.1.109 m-3
201.2.1521 Pn-31'		29.2.110 m-31'
201.3.1522 Pn'-3'		29.3.111 m'-3'
201.4.1523 F_Sd-3		29.2.110 m-31'
202.1.1524 Fm-3		29.1.109 m-3
202.2.1525 Fm-31'		29.2.110 m-31'
202.3.1526 Fm'-3'		29.3.111 m'-3'
203.1.1527 Fd-3		29.1.109 m-3
203.2.1528 Fd-31'		29.2.110 m-31'
203.3.1529 Fd'-3'		29.3.111 m'-3'
204.1.1530 Im-3		29.1.109 m-3
204.2.1531 Im-31'		29.2.110 m-31'
204.3.1532 Im'-3'		29.3.111 m'-3'
204.4.1533 P_Im-3		29.2.110 m-31'
204.5.1534 P_In-3		29.2.110 m-31'
205.1.1535 Pa-3		29.1.109 m-3
205.2.1536 Pa-31'		29.2.110 m-31'
205.3.1537 Pa'-3'		29.3.111 m'-3'
206.1.1538 Ia-3		29.1.109 m-3
206.2.1539 Ia-31'		29.2.110 m-31'
206.3.1540 Ia'-3'		29.3.111 m'-3'
206.4.1541 P_Ia-3		29.2.110 m-31'
207.1.1542 P432		30.1.112 432
207.2.1543 P4321'		30.2.113 4321'
207.3.1544 P4'32'		30.3.114 4'32'
207.4.1545 F_S432		30.2.113 4321'
208.1.1546 P4_232		30.1.112 432
208.2.1547 P4_2321'		30.2.113 4321'
208.3.1548 P4_2'32'		30.3.114 4'32'
208.4.1549 F_S4_132		30.2.113 4321'
209.1.1550 F432		30.1.112 432
209.2.1551 F4321'		30.2.113 4321'
209.3.1552 F4'32'		30.3.114 4'32'
210.1.1553 F4_132		30.1.112 432
210.2.1554 F4_1321'		30.2.113 4321'
210.3.1555 F4_1'32'		30.3.114 4'32'
211.1.1556 I432		30.1.112 432
211.2.1557 I4321'		30.2.113 4321'
211.3.1558 I4'32'		30.3.114 4'32'
211.4.1559 P_I432		30.2.113 4321'
211.5.1560 P_I4_232		30.2.113 4321'
212.1.1561 P4_332		30.1.112 432
212.2.1562 P4_3321'		30.2.113 4321'
212.3.1563 P4_3'32'		30.3.114 4'32'
213.1.1564 P4_132		30.1.112 432
213.2.1565 P4_1321'		30.2.113 4321'
213.3.1566 P4_1'32'		30.3.114 4'32'
214.1.1567 I4_132		30.1.112 432
214.2.1568 I4_1321'		30.2.113 4321'
214.3.1569 I4_1'32'		30.3.114 4'32'
214.4.1570 P_I4_332		30.2.113 4321'
214.5.1571 P_I4_132		30.2.113 4321'
215.1.1572 P-43m		31.1.115 -43m
215.2.1573 P-43m1'		31.2.116 -43m1'
215.3.1574 P-4'3m'		31.3.117 -4'3m'
215.4.1575 F_S-43m		31.2.116 -43m1'
215.5.1576 F_S-43c		31.2.116 -43m1'
216.1.1577 F-43m		31.1.115 -43m
216.2.1578 F-43m1'		31.2.116 -43m1'
216.3.1579 F-4'3m'		31.3.117 -4'3m'
217.1.1580 I-43m		31.1.115 -43m
217.2.1581 I-43m1'		31.2.116 -43m1'
217.3.1582 I-4'3m'		31.3.117 -4'3m'
217.4.1583 P_I-43m		31.2.116 -43m1'
217.5.1584 P_I-43n		31.2.116 -43m1'
218.1.1585 P-43n		31.1.115 -43m
218.2.1586 P-43n1'		31.2.116 -43m1'
218.3.1587 P-4'3n'		31.3.117 -4'3m'
219.1.1588 F-43c		31.1.115 -43m
219.2.1589 F-43c1'		31.2.116 -43m1'
219.3.1590 F-4'3c'		31.3.117 -4'3m'
220.1.1591 I-43d		31.1.115 -43m
220.2.1592 I-43d1'		31.2.116 -43m1'
220.3.1593 I-4'3d'		31.3.117 -4'3m'
221.1.1594 Pm-3m		32.1.118 m-3m
221.2.1595 Pm-3m1'		32.2.119 m-3m1'
221.3.1596 Pm'-3'm		32.3.120 m'-3'm
221.4.1597 Pm-3m'		32.4.121 m-3m'
221.5.1598 Pm'-3'm'		32.5.122 m'-3'm'
221.6.1599 F_Sm-3m		32.2.119 m-3m1'
221.7.1600 F_Sm-3c		32.2.119 m-3m1'
222.1.1601 Pn-3n		32.1.118 m-3m
222.2.1602 Pn-3n1'		32.2.119 m-3m1'
222.3.1603 Pn'-3'n		32.3.120 m'-3'm
222.4.1604 Pn-3n'		32.4.121 m-3m'
222.5.1605 Pn'-3'n'		32.5.122 m'-3'm'
223.1.1606 Pm-3n		32.1.118 m-3m
223.2.1607 Pm-3n1'		32.2.119 m-3m1'
223.3.1608 Pm'-3'n		32.3.120 m'-3'm
223.4.1609 Pm-3n'		32.4.121 m-3m'
223.5.1610 Pm'-3'n'		32.5.122 m'-3'm'
224.1.1611 Pn-3m		32.1.118 m-3m
224.2.1612 Pn-3m1'		32.2.119 m-3m1'
224.3.1613 Pn'-3'm		32.3.120 m'-3'm
224.4.1614 Pn-3m'		32.4.121 m-3m'
224.5.1615 Pn'-3'm'		32.5.122 m'-3'm'
224.6.1616 F_Sd-3m		32.2.119 m-3m1'
224.7.1617 F_Sd-3c		32.2.119 m-3m1'
225.1.1618 Fm-3m		32.1.118 m-3m
225.2.1619 Fm-3m1'		32.2.119 m-3m1'
225.3.1620 Fm'-3'm		32.3.120 m'-3'm
225.4.1621 Fm-3m'		32.4.121 m-3m'
225.5.1622 Fm'-3'm'		32.5.122 m'-3'm'
226.1.1623 Fm-3c		32.1.118 m-3m
226.2.1624 Fm-3c1'		32.2.119 m-3m1'
226.3.1625 Fm'-3'c		32.3.120 m'-3'm
226.4.1626 Fm-3c'		32.4.121 m-3m'
226.5.1627 Fm'-3'c'		32.5.122 m'-3'm'
227.1.1628 Fd-3m		32.1.118 m-3m
227.2.1629 Fd-3m1'		32.2.119 m-3m1'
227.3.1630 Fd'-3'm		32.3.120 m'-3'm
227.4.1631 Fd-3m'		32.4.121 m-3m'
227.5.1632 Fd'-3'm'		32.5.122 m'-3'm'
228.1.1633 Fd-3c		32.1.118 m-3m
228.2.1634 Fd-3c1'		32.2.119 m-3m1'
228.3.1635 Fd'-3'c		32.3.120 m'-3'm
228.4.1636 Fd-3c'		32.4.121 m-3m'
228.5.1637 Fd'-3'c'		32.5.122 m'-3'm'
229.1.1638 Im-3m		32.1.118 m-3m
229.2.1639 Im-3m1'		32.2.119 m-3m1'
229.3.1640 Im'-3'm		32.3.120 m'-3'm
229.4.1641 Im-3m'		32.4.121 m-3m'
229.5.1642 Im'-3'm'		32.5.122 m'-3'm'
229.6.1643 P_Im-3m		32.2.119 m-3m1'
229.7.1644 P_In-3m		32.2.119 m-3m1'
229.8.1645 P_Im-3n		32.2.119 m-3m1'
